background.cpgs	CpG.coordinate	Chr.hg19	Start.hg19	End.hg19	CpG_Names	amplicon	Type.of.amplicon	S1.mean	S2.mean	S3.mean	S4.mean	NBC.mean	GC.mean	MBC.mean	PB.mean	diff.NBC.MB	diff.NBC.MB.conf	
16	cg00759807	chr16.89390789.89390790	chr16	89390789	89390790	B.cell.diff.4	AMPL131211	CpG.B.cell.diff	0.91183850607032	0.916547226802878	0.923632721200927	0.913032192313818	0.741809766277146	0.114882102814414	0.168202676549321	0.51677168867169	TRUE	FALSE
17	cg00762029	chr4.185317438.185317439	chr4	185317438	185317439	B.cell.diff.279	AMPL130777	CpG.B.cell.diff	0.932632298886827	0.882763019976297	0.411587841149383	0.359189946625365	0.155082833195271	0.056353407304818	0.08363622554881	0.122650677514866	FALSE	FALSE
18	cg00779180	chr16.25117992.25117993	chr16	25117992	25117993	always.unmeth.B.37	AMPL202727	CpG.always.unmeth.B	0.040380146550826	0.043018634542819	0.034289659487841	0.039805754415786	0.043268400538974	0.038633363944588	0.043707949778471	0.042392213388928	NA	NA
19	cg00808175	chr12.6949119.6949120	chr12	6949119	6949120	B.cell.diff.95	AMPL131061	CpG.B.cell.diff	0.904667058103671	0.896475960137358	0.780684562459296	0.610049375490606	0.556915351416055	0.086594318435626	0.102799960667874	0.385613365527962	TRUE	FALSE
20	cg00831127	chr1.23038925.23038926	chr1	23038925	23038926	B.cell.diff.117	AMPL130613	CpG.B.cell.diff	0.825292125630377	0.847618972952774	0.824954830458288	0.832389267407791	0.823113779471994	0.42128473381826	0.238796017676704	0.70657281048564	TRUE	FALSE
21	cg00928816	chr10.63809098.63809099	chr10	63809098	63809099	B.cell.diff.40	AMPL130982	CpG.B.cell.diff	0.90359024114758	0.934606806934879	0.91320884016906	0.918679193130095	0.854144583181615	0.491460482083438	0.366242939697267	0.723290557923608	TRUE	FALSE
22	cg00962740	chr1.243507532.243507533	chr1	243507532	243507533	B.cell.diff.75	AMPL130654	CpG.B.cell.diff	0.851363920830531	0.887683893287101	0.867911049873192	0.885952930592216	0.74614088673439	0.461974490717777	0.290959743707196	0.657190262497064	TRUE	FALSE
23	cg01044637	chr3.13082751.13082752	chr3	13082751	13082752	B.cell.diff.311	AMPL130718	CpG.B.cell.diff	0.293208404830842	0.423761424054698	0.233432160051181	0.237611770028128	0.425878880608535	0.516188954622761	0.774559455153473	0.446156365454399	TRUE	FALSE
24	cg01099825	chr9.140166114.140166115	chr9	140166114	140166115	B.cell.diff.133	AMPL130970	CpG.B.cell.diff	0.525599523136543	0.352029676748199	0.141833727249766	0.15945966284174	0.155333670592926	0.540260302926231	0.869209691225937	0.262144935636858	TRUE	FALSE
25	cg01116137	chr20.25034263.25034264	chr20	25034263	25034264	B.cell.diff.266	AMPL131320	CpG.B.cell.diff	0.299214785872839	0.483385121704274	0.461546605794547	0.472415845017502	0.386338889768424	0.397875672859076	0.389790649474879	0.389759692572697	FALSE	FALSE
26	cg01146320	chr11.120080945.120080946	chr11	120080945	120080946	B.cell.diff.135	AMPL131042	CpG.B.cell.diff	0.666543791025018	0.649455861711881	0.637457873390986	0.658253286275487	0.238389219241053	0.386259221298708	0.425949291028929	0.278433100258384	FALSE	FALSE
27	cg01177709	chr4.47465011.47465012	chr4	47465011	47465012	B.cell.diff.211	AMPL130764	CpG.B.cell.diff	0.776827710936729	0.766210404081057	0.72572954165988	0.751210584357037	0.601845668728009	0.394885571418584	0.327373082983274	0.540854024561802	TRUE	FALSE
28	cg01213455	chr5.179280345.179280346	chr5	179280345	179280346	B.cell.diff.85	AMPL130820	CpG.B.cell.diff	0.919295697380244	0.929156312229502	0.91624603049243	0.926921422634868	0.746844741921976	0.461986024057596	0.232460031115815	0.647650293353641	TRUE	FALSE
29	cg01219000	chr4.74865270.74865271	chr4	74865270	74865271	B.cell.diff.212	AMPL130767	CpG.B.cell.diff	0.930988270018284	0.908929283184315	0.869917887335739	0.894588311135274	0.845681139681992	0.606943161442117	0.497315943742003	0.765273322145479	TRUE	FALSE
30	cg01305421	chr12.102874286.102874287	chr12	102874286	102874287	B.cell.diff.96	AMPL131079	CpG.B.cell.diff	0.341764319836649	0.365958290391934	0.325426564301356	0.359970125440723	0.158891464055282	0.226590126773969	0.644559812610705	0.167747055071619	TRUE	FALSE
31	cg01380194	chr11.72452482.72452483	chr11	72452482	72452483	B.cell.diff.45	AMPL131036	CpG.B.cell.diff	0.765222878096133	0.844254950665372	0.827117869732318	0.843159376790128	0.814573252824643	0.408604600905188	0.45457023429307	0.686730562530517	TRUE	FALSE
32	cg01413354	chr9.136017755.136017756	chr9	136017755	136017756	B.cell.diff.239	AMPL130964	CpG.B.cell.diff	0.834594932664305	0.848068067572886	0.852231941876093	0.86939707920624	0.454332505625583	0.269426467838774	0.328311056097091	0.381493659469887	FALSE	FALSE
33	cg01425762	chr16.81666633.81666634	chr16	81666633	81666634	B.cell.diff.297	AMPL200362	CpG.B.cell.diff	0.119099606914973	0.331741622625397	0.359978743034424	0.360180153032779	0.348572084704867	0.452909430231424	0.741534136180257	0.383679030247398	TRUE	FALSE
34	cg01475397	chr13.39985790.39985791	chr13	39985790	39985791	B.cell.diff.249	AMPL131100	CpG.B.cell.diff	0.928145666513259	0.933702435104547	0.913441240436178	0.935402011501248	0.903301791386528	0.657213579520275	0.566581731750683	0.829189223778727	TRUE	FALSE
35	cg01508159	chr19.39421576.39421577	chr19	39421576	39421577	always.unmeth.B.3	AMPL131302	CpG.always.unmeth.B	0.032300170366077	0.028065972427764	0.026575762349813	0.029719639740248	0.031562017586491	0.029900641846424	0.030153501374445	0.031097089010293	NA	NA
36	cg01617071	chr7.964629.964630	chr7	964629	964630	B.cell.diff.167	AMPL130878	CpG.B.cell.diff	0.755108777170189	0.658585830668115	0.636759577385556	0.627334844425326	0.489906168819289	0.071838610306776	0.099998744767346	0.340723212789625	TRUE	FALSE
37	cg01638225	chr4.1202930.1202931	chr4	1202930	1202931	always.meth.B.19	AMPL130753	CpG.always.meth.B	0.973054849520226	0.972419521347099	0.973107348863107	0.971598580166075	0.954962932627991	0.964781157230579	0.962231628744357	0.959260452252756	NA	NA
38	cg01702055	chr6.13303065.13303066	chr6	13303065	13303066	B.cell.diff.34	AMPL130827	CpG.B.cell.diff	0.868065771292096	0.935852129993201	0.926231831192361	0.942339483675284	0.602191788617733	0.112762104610421	0.217932134145258	0.426380815230965	TRUE	FALSE
39	cg01765641	chr3.17781888.17781889	chr3	17781888	17781889	B.cell.diff.82	AMPL130724	CpG.B.cell.diff	0.885493998628833	0.90465070154646	0.892901278951785	0.910708989480361	0.847883175181936	0.523945074616562	0.199902403565623	0.765565018957435	TRUE	TRUE
40	cg01841306	chr17.908923.908924	chr17	908923	908924	B.cell.diff.146	AMPL200374	CpG.B.cell.diff	0.934904922686712	0.933938501445528	0.909297347681839	0.923848192275437	0.375760302369886	0.544186145057759	0.710285219708288	0.425524349820342	TRUE	FALSE
41	cg01955533	chr6.36650733.36650734	chr6	36650733	36650734	B.cell.diff.426	AMPL130854	CpG.B.cell.diff	0.553803551268098	0.480655326360909	0.397153460983223	0.237250667296041	0.063126019538686	0.069711902866023	0.077320907014783	0.064322717812878	FALSE	FALSE
42	cg01963224	chr14.71791671.71791672	chr14	71791671	71791672	B.cell.diff.180	AMPL131121	CpG.B.cell.diff	0.358077287449924	0.563037930809554	0.555839871644393	0.586373557905542	0.285473996253778	0.05758479069078	0.265153687940874	0.20705794077694	FALSE	FALSE
43	cg02008951	chr19.5703619.5703620	chr19	5703619	5703620	always.meth.B.2	AMPL131279	CpG.always.meth.B	0.98285059238617	0.981090494249923	0.976036033602717	0.980192330125569	0.967975762559073	0.970600997807893	0.967425216742276	0.970481491748311	NA	NA
44	cg02039404	chr2.70368784.70368785	chr2	70368784	70368785	B.cell.diff.12	AMPL130677	CpG.B.cell.diff	0.922440653874503	0.933581529455203	0.922391648383808	0.929807055453697	0.876112147169899	0.393192909152931	0.252583624341234	0.734606305985032	TRUE	FALSE
45	cg02083319	chr5.176929430.176929431	chr5	176929430	176929431	B.cell.diff.29	AMPL130818	CpG.B.cell.diff	0.855280832247076	0.884965572657952	0.856486885793798	0.869687618028308	0.708455448010858	0.289675984626737	0.192651083749724	0.572284478196975	TRUE	FALSE
46	cg02095334	chr6.33138108.33138109	chr6	33138108	33138109	B.cell.diff.281	AMPL130852	CpG.B.cell.diff	0.878535650473641	0.41844641853837	0.235938940864989	0.167786746756077	0.085080524444078	0.0606823675916	0.101818827316529	0.078889871374827	FALSE	FALSE
47	cg02243522	chr8.129061054.129061055	chr8	129061054	129061055	B.cell.diff.39	AMPL200135	CpG.B.cell.diff	0.804064258760016	0.88074937187406	0.850537317079278	0.830315524837012	0.192799077831904	0.073831760848816	0.078925109912376	0.165326579971909	FALSE	FALSE
48	cg02245875	chr20.17552881.17552882	chr20	17552881	17552882	B.cell.diff.188	AMPL131318	CpG.B.cell.diff	0.791801560074947	0.866910798721296	0.842932534566725	0.901631534454148	0.788768097622993	0.500103770913627	0.747130730704845	0.654363057947273	FALSE	FALSE
49	cg02300652	chr2.152804107.152804108	chr2	152804107	152804108	B.cell.diff.120	AMPL130698	CpG.B.cell.diff	0.517387916412321	0.55094046176095	0.524956309237916	0.573874451405113	0.290062960502441	0.318124451305489	0.392691365273675	0.296312905793157	FALSE	FALSE
50	cg02331198	chr6.106988121.106988122	chr6	106988121	106988122	B.cell.diff.317	AMPL130863	CpG.B.cell.diff	0.200716883092582	0.118855571381245	0.167369563190635	0.162707330076949	0.231806065912146	0.501794706604755	0.657846924178971	0.304349150737544	TRUE	FALSE
51	cg02481064	chr4.58154270.58154271	chr4	58154270	58154271	B.cell.diff.25	AMPL199982	CpG.B.cell.diff	0.847116594889645	0.910381055156549	0.907038502806819	0.934099656111506	0.893492642077644	0.397173139062172	0.201755627551487	0.72235505369372	TRUE	FALSE
52	cg02531067	chr15.100026867.100026868	chr15	100026867	100026868	B.cell.diff.373	AMPL131168	CpG.B.cell.diff	0.06900169228577	0.059139088490848	0.053558969834147	0.055809135100879	0.057728659000175	0.115569128249553	0.198701452751722	0.071217534867603	FALSE	FALSE
53	cg02578709	chr12.132637860.132637861	chr12	132637860	132637861	B.cell.diff.97	AMPL131092	CpG.B.cell.diff	0.8920569088643	0.927311246219054	0.895441831735851	0.920679186166763	0.897797379415746	0.418405118361747	0.696313101727964	0.698318815253856	FALSE	FALSE
54	cg02584488	chr11.33801525.33801526	chr11	33801525	33801526	B.cell.diff.405	AMPL131015	CpG.B.cell.diff	0.906405703103013	0.902039328120747	0.882388485360692	0.894479652563043	0.891499530587759	0.809952041769916	0.785599308016831	0.859698115473665	FALSE	FALSE
55	cg02585724	chr15.81116461.81116462	chr15	81116461	81116462	B.cell.diff.295	AMPL131161	CpG.B.cell.diff	0.646027224791237	0.10438786336117	0.080841939361953	0.086384351013624	0.071574685868231	0.115901737422136	0.16552200948314	0.083679678503706	FALSE	FALSE
56	cg02774705	chr2.121741143.121741144	chr2	121741143	121741144	B.cell.diff.13	AMPL130688	CpG.B.cell.diff	0.940080188748565	0.936530249721504	0.915909973958517	0.924268730268334	0.908782734315838	0.845785165426887	0.780723088907679	0.872742466530593	FALSE	FALSE
57	cg02794695	chr8.134072611.134072612	chr8	134072611	134072612	B.cell.diff.233	AMPL130939	CpG.B.cell.diff	0.056206865114505	0.048065533607775	0.043586571574833	0.046108157892852	0.048139512622192	0.051323945904749	0.104451833531831	0.054568720935835	FALSE	FALSE
58	cg02856338	chr8.101822108.101822109	chr8	101822108	101822109	B.cell.diff.343	AMPL130936	CpG.B.cell.diff	0.053171382149348	0.065292713602232	0.059444268443666	0.063083820824376	0.085388572774441	0.109801356295173	0.173886755480256	0.09191545715478	FALSE	FALSE
59	cg02878222	chr16.5117565.5117566	chr16	5117565	5117566	B.cell.diff.108	AMPL131181	CpG.B.cell.diff	0.940776651315765	0.945553689234735	0.937239925077559	0.94720398711905	0.773419553931491	0.421472587681214	0.173002713447877	0.674213506953512	TRUE	FALSE
60	cg02901122	chr18.33647344.33647345	chr18	33647344	33647345	always.unmeth.B.9	AMPL131257	CpG.always.unmeth.B	0.023855641591036	0.022973064337083	0.02276734835298	0.028800001402698	0.029312368886923	0.030427542021707	0.025822480188858	0.027835776838946	NA	NA
61	cg02932780	chr6.31762353.31762354	chr6	31762353	31762354	B.cell.diff.222	AMPL130842	CpG.B.cell.diff	0.87765494999799	0.907555069727272	0.890416064257024	0.897047758218889	0.753330048726531	0.471472418384073	0.228373342755313	0.680389506836601	TRUE	FALSE
62	cg03015498	chr10.7517765.7517766	chr10	7517765	7517766	B.cell.diff.403	AMPL130974	CpG.B.cell.diff	0.436570122257005	0.143636667434165	0.112517022510028	0.117470066809128	0.38005301992728	0.525196882683374	0.775811768988847	0.41766096938538	TRUE	FALSE
63	cg03077969	chr6.31522510.31522511	chr6	31522510	31522511	B.cell.diff.162	AMPL130838	CpG.B.cell.diff	0.686379712485423	0.777097014141192	0.81799043929818	0.855442491082985	0.852843490516648	0.259460170144836	0.602278596854454	0.677406803342209	TRUE	FALSE
64	cg03214420	chr19.44257589.44257590	chr19	44257589	44257590	B.cell.diff.147	AMPL131307	CpG.B.cell.diff	0.93490111931492	0.937171217178896	0.926987028837223	0.932424912323872	0.702839887892876	0.087281981159665	0.092273007183265	0.478376570206385	TRUE	FALSE
65	cg03335128	chr1.1731415.1731416	chr1	1731415	1731416	B.cell.diff.196	AMPL130599	CpG.B.cell.diff	0.844214966103265	0.882820086508152	0.857820272485155	0.894743951585843	0.776967714140376	0.453567854999924	0.355733697057708	0.706941729267414	TRUE	FALSE
66	cg03395898	chr14.76448011.76448012	chr14	76448011	76448012	B.cell.diff.181	AMPL131122	CpG.B.cell.diff	0.74118308504658	0.733943916767459	0.712025613986302	0.722249428180213	0.454188198511324	0.085929074937904	0.209649122242373	0.322697793881596	FALSE	FALSE
67	cg03500977	chr6.31325314.31325315	chr6	31325314	31325315	B.cell.diff.397	AMPL200049	CpG.B.cell.diff	0.481454031546529	0.500216231850192	0.474274299057177	0.476205394461008	0.258958185677134	0.171544909104371	0.159360006015574	0.226664524355674	FALSE	FALSE
68	cg03609292	chr17.4799832.4799833	chr17	4799832	4799833	always.meth.B.3	AMPL131217	CpG.always.meth.B	0.982720548244126	0.979720202282956	0.978388626940377	0.980194180813689	0.969334824831334	0.964795058053671	0.96744617481964	0.969194659632173	NA	NA
69	cg03654504	chr1.37495105.37495106	chr1	37495105	37495106	B.cell.diff.307	AMPL130621	CpG.B.cell.diff	0.820501689231589	0.7915636597903	0.541338817214264	0.412290147001415	0.343613803032016	0.140406992660269	0.068513212076682	0.275483079742608	TRUE	FALSE
70	cg04126866	chr10.85932763.85932764	chr10	85932763	85932764	B.cell.diff.41	AMPL130989	CpG.B.cell.diff	0.912222998554082	0.902697908498773	0.905130990416358	0.899564303781673	0.86735247831145	0.466207466826987	0.632322942157072	0.728867812136195	FALSE	FALSE
71	cg04141975	chr5.163662391.163662392	chr5	163662391	163662392	B.cell.diff.445	AMPL130810	CpG.B.cell.diff	0.907001886217102	0.657941698052042	0.501325851222889	0.550526852276785	0.693766381409258	0.642896050320984	0.701859519886538	0.680107980638717	FALSE	FALSE
72	cg04161859	chr10.73404657.73404658	chr10	73404657	73404658	B.cell.diff.93	AMPL130984	CpG.B.cell.diff	0.814977765381063	0.809797205543828	0.756397233146317	0.761102190388867	0.579737861588647	0.226334246252372	0.157143320476258	0.459313421192985	TRUE	FALSE
73	cg04256697	chr12.120688557.120688558	chr12	120688557	120688558	B.cell.diff.98	AMPL131087	CpG.B.cell.diff	0.786653289367283	0.857846057299584	0.869442740232572	0.895473620316838	0.776789299963211	0.45586333702724	0.233614347760099	0.688584604010725	TRUE	FALSE
74	cg04309234	chr6.106441468.106441469	chr6	106441468	106441469	B.cell.diff.361	AMPL130862	CpG.B.cell.diff	0.269691466428745	0.222884085691177	0.1859981387658	0.220099032072728	0.23130263669851	0.333805653321222	0.522013941424719	0.258557307961024	TRUE	FALSE
75	cg04380107	chr17.47236224.47236225	chr17	47236224	47236225	B.cell.diff.377	AMPL131230	CpG.B.cell.diff	0.873370154897228	0.864487356629987	0.843905516973457	0.849270712749047	0.835773977923933	0.742580082634461	0.692663828736722	0.795455715165002	FALSE	FALSE
76	cg04512050	chr6.31620972.31620973	chr6	31620972	31620973	always.unmeth.B.31	AMPL202408	CpG.always.unmeth.B	0.029634581599413	0.028219537711812	0.02880955670136	0.034375975598153	0.037956236932329	0.040154577369254	0.040531547024937	0.037767443006087	NA	NA
77	cg04517282	chr5.2743260.2743261	chr5	2743260	2743261	B.cell.diff.356	AMPL130784	CpG.B.cell.diff	0.119528166401392	0.131516061493938	0.127513019794687	0.13054547880218	0.224002975700797	0.304410058810525	0.403289680244304	0.244173136936195	FALSE	FALSE
78	cg04601775	chr6.32557478.32557479	chr6	32557478	32557479	B.cell.diff.362	AMPL121673	CpG.B.cell.diff	0.728590753116091	0.658279442043551	0.642935809701215	0.644089657604748	0.430787110857527	0.362131924549999	0.244985614082091	0.390137299224727	FALSE	FALSE
79	cg04668137	chr13.24385195.24385196	chr13	24385195	24385196	B.cell.diff.141	AMPL131094	CpG.B.cell.diff	0.575543356234462	0.641648005442486	0.569484953723284	0.506959874098928	0.112286805339621	0.127719464606279	0.277156251172093	0.126004403283345	FALSE	FALSE
80	cg04685228	chr5.172462626.172462627	chr5	172462626	172462627	B.cell.diff.395	AMPL130812	CpG.B.cell.diff	0.773856769430041	0.816982984153152	0.810119486587947	0.798122774729885	0.104038307986445	0.068053657143453	0.07397957219157	0.091709853230014	FALSE	FALSE
81	cg04755857	chr4.5748162.5748163	chr4	5748162	5748163	B.cell.diff.26	AMPL130758	CpG.B.cell.diff	0.925029891855352	0.922999637457247	0.903284495624819	0.9045051322973	0.865442056876053	0.692788544238965	0.509987566688989	0.796119974872575	TRUE	FALSE
82	cg04811114	chr1.202172778.202172779	chr1	202172778	202172779	B.cell.diff.347	AMPL130646	CpG.B.cell.diff	0.482434351287583	0.615527449763664	0.597024535500628	0.58815494464093	0.450863929999718	0.371963010390012	0.275593512946167	0.416326355873069	FALSE	FALSE
83	cg04894537	chr11.2763171.2763172	chr11	2763171	2763172	B.cell.diff.442	AMPL131013	CpG.B.cell.diff	0.287800222621534	0.509924097167886	0.51360176700318	0.539410276459922	0.669649502890932	0.466691121945391	0.444571023403445	0.593497168165699	FALSE	FALSE
84	cg04896678	chr6.15662223.15662224	chr6	15662223	15662224	B.cell.diff.398	AMPL200041	CpG.B.cell.diff	0.567335740549696	0.613944202965036	0.581873967357141	0.592088491656342	0.322044212730874	0.087342241352452	0.171649843476939	0.240415744244704	FALSE	FALSE
85	cg04918831	chr1.241795170.241795171	chr1	241795170	241795171	B.cell.diff.388	AMPL199892	CpG.B.cell.diff	0.902592500803519	0.89804066940905	0.681889283288058	0.691008038092905	0.694066144612686	0.764607923133879	0.886439048358617	0.71017914716503	FALSE	FALSE
86	cg04947949	chr10.49892203.49892204	chr10	49892203	49892204	B.cell.diff.291	AMPL200166	CpG.B.cell.diff	0.812409087345103	0.348560949020793	0.160186533121837	0.164647906521745	0.174115235854902	0.069879723038218	0.186315416416649	0.144046209242181	FALSE	FALSE
87	cg04955511	chr7.14801527.14801528	chr7	14801527	14801528	B.cell.diff.227	AMPL130887	CpG.B.cell.diff	0.947998279540347	0.94022084246056	0.931604622723103	0.933595937085697	0.907767798656977	0.823557138976018	0.726387983058658	0.862955123473929	FALSE	FALSE
88	cg04960065	chr4.185189300.185189301	chr4	185189300	185189301	B.cell.diff.280	AMPL130776	CpG.B.cell.diff	0.683958646486706	0.567591594496159	0.337847058113057	0.205013085099763	0.061250710551009	0.055855735800884	0.063007771439424	0.05846418784264	FALSE	FALSE
89	cg04975481	chr6.31464826.31464827	chr6	31464826	31464827	B.cell.diff.223	AMPL130837	CpG.B.cell.diff	0.750751148212607	0.848157492581015	0.808305049545556	0.859412822572452	0.747752975162632	0.280448130589963	0.270600771629411	0.593537776824541	TRUE	FALSE
90	cg05088356	chr5.66124167.66124168	chr5	66124167	66124168	B.cell.diff.315	AMPL130794	CpG.B.cell.diff	0.912322337445565	0.840566944385149	0.444316341195903	0.456481517154918	0.423670158786612	0.168850871292802	0.124822679716725	0.340732999197659	TRUE	FALSE
91	cg05154234	chr12.48204680.48204681	chr12	48204680	48204681	B.cell.diff.175	AMPL131067	CpG.B.cell.diff	0.909333770996135	0.762597606391805	0.611036069788075	0.61063867785324	0.44328065031582	0.147137728277795	0.297074448115063	0.329393384283603	FALSE	FALSE
92	cg05177287	chr13.52508263.52508264	chr13	52508263	52508264	B.cell.diff.371	AMPL131104	CpG.B.cell.diff	0.901969291525537	0.87922323985294	0.860148662710292	0.8740100052777	0.857886020328195	0.652555000327195	0.635761353123823	0.780688628792843	FALSE	FALSE
93	cg05189804	chr11.123065246.123065247	chr11	123065246	123065247	B.cell.diff.406	AMPL131043	CpG.B.cell.diff	0.480855775638117	0.485658100992997	0.445010109546725	0.471070617791823	0.766628964115356	0.728049922639642	0.682504077649785	0.738526077688684	FALSE	FALSE
94	cg05272157	chr1.33003975.33003976	chr1	33003975	33003976	B.cell.diff.76	AMPL130618	CpG.B.cell.diff	0.896611450463237	0.919956358930949	0.915406000462362	0.922135638784224	0.904999448968405	0.64986109831949	0.573836107797031	0.813928938153466	TRUE	FALSE
95	cg05339037	chr19.13951168.13951169	chr19	13951168	13951169	B.cell.diff.263	AMPL131285	CpG.B.cell.diff	0.807955487766151	0.891436242911393	0.890217859526388	0.894827127444714	0.840410147367177	0.48996485336	0.578324692075107	0.734565152389998	TRUE	FALSE
96	cg05429448	chr3.101659630.101659631	chr3	101659630	101659631	B.cell.diff.21	AMPL130735	CpG.B.cell.diff	0.106762195606449	0.197884859203012	0.230354638928411	0.240513818067795	0.16772836046653	0.46099774762608	0.514608208026331	0.253278197238807	TRUE	FALSE
97	cg05451210	chr12.98812695.98812696	chr12	98812695	98812696	B.cell.diff.140	AMPL131078	CpG.B.cell.diff	0.80137524217751	0.871852246697189	0.859184565800224	0.874046927393693	0.509670545539116	0.59334372404817	0.589585478988933	0.518979802030313	FALSE	FALSE
98	cg05595134	chr8.55047255.55047256	chr8	55047255	55047256	B.cell.diff.234	AMPL130930	CpG.B.cell.diff	0.860427072471724	0.908235507887845	0.914284529751892	0.932934442457175	0.919599809730276	0.779777833328198	0.667638718162702	0.892236530814158	TRUE	FALSE
99	cg05660874	chr19.2332485.2332486	chr19	2332485	2332486	B.cell.diff.299	AMPL131273	CpG.B.cell.diff	0.62154138311018	0.181016555395322	0.125806439085775	0.144715010503188	0.093868422914666	0.079703494411295	0.101934739541959	0.092318057119439	FALSE	FALSE
100	cg05675008	chr5.133706716.133706717	chr5	133706716	133706717	always.unmeth.B.24	AMPL130802	CpG.always.unmeth.B	0.032411315011391	0.028458134103921	0.033175003847504	0.033996549854759	0.03626588767863	0.034603402754548	0.038091908066982	0.033086509448184	NA	NA
101	cg05681827	chr5.1505611.1505612	chr5	1505611	1505612	B.cell.diff.216	AMPL130780	CpG.B.cell.diff	0.872588964085638	0.875836525098922	0.853593574265783	0.888646732558603	0.854546237148975	0.728747895279815	0.674176731068009	0.825492609412238	FALSE	FALSE
102	cg05697726	chr6.32812933.32812934	chr6	32812933	32812934	B.cell.diff.282	AMPL130850	CpG.B.cell.diff	0.342598984899572	0.215732282705119	0.090919930702016	0.084824966354503	0.062741995866433	0.066271342229583	0.06476685350447	0.061930007297891	FALSE	FALSE
